Departure,Nationality,Destination,Year
ROTTERDAM,DUTCH,MADEIRA,1777
MADEIRA,DUTCH,TEXEL,1777
TEXEL,DUTCH,LISSABON,1778
LISSABON,DUTCH,MADEIRA,1778
MADEIRA,DUTCH,ST EUSTATIUS,1778
ST EUSTATIUS,DUTCH,TEXEL,1778
PORTSMOUTH,BRITISH,HALIFAX,1791
HALIFAX,BRITISH,BARBADOS,1793
HAVANNA,BRITISH,LIVERPOOL,1794
CAPE ST VINCENT,BRITISH,BARBADOS,1805
BARBADOS,BRITISH,GIBRALTAR,1805
SPITHEAD,BRITISH,FUNCHAL,1806
FUNCHAL,BRITISH,ST JAGO,1806
ST JAGO,BRITISH,AZORES,1806
SPITHEAD,BRITISH,FUNCHAL,1806
FUNCHAL,BRITISH,BARBADOS,1806
BARBADOS,BRITISH,NEWFOUNDLAND,1806
ROTTERDAM,DUTCH,PORTE PRAAY,1767
PORTE PRAAY,DUTCH,ST PAULO,1768
ST PAULO,DUTCH,MAXIM,1768
ST GEORGE D'ELMINA,DUTCH,SURINAME,1768
SURINAME,DUTCH,ST JACOBSBAAI,1768
ST JACOBSBAAI,DUTCH,ST EUSTATIUS,1768
ST EUSTATIUS,DUTCH,TEXEL,1769
TEXEL,DUTCH,LISSABON,1791
LISSABON,DUTCH,BAAI FALS,1792
BAAI FALS,DUTCH,STRAAT SUNDA,1793
NEDERLAND,DUTCH,BATAVIA,1849
SPITHEAD,BRITISH,BARBADOS,1796
PORT ROYAL JAMAICA,BRITISH,PLYMOUTH,1798
CORK,BRITISH,BARBADOS,1801
PORT ROYAL JAMAICA,BRITISH,SPITHEAD,1801
NEDERLAND,DUTCH,BATAVIA,1849
BATAVIA,DUTCH,NIEUWEDIEP,1849
NEDERLAND,DUTCH,KAAP DE GOEDE HOOP,1850
KAAP DE GOEDE HOOP,DUTCH,BATAVIA,1850
BATAVIA,DUTCH,NEDERLAND,1850
SPITHEAD,BRITISH,MARTINICO,1798
BREST,FRENCH,FORT ROYAL,1775
CARIBEAN,FRENCH,BREST,1776
COASTAL,FRENCH,COASTAL,1776
SPITHEAD,BRITISH,CARLISE BAY (BARBADOS),1797
BASSE TERRE ROAD, ST KITTS,BRITISH,SPITHEAD,1801
NIEUWEDIEP,DUTCH,GUINEE,1838
GUINEE,DUTCH,NIEUWEDIEP,1838
NIEUWEDIEP,DUTCH,SURINAME,1839
SURINAME,DUTCH,BARBADOS,1840
SURINAME,DUTCH,NEDERLAND,1841
NIEUWEDIEP,DUTCH,LIVERPOOL,1853
LIVERPOOL,DUTCH,PORT PHILIP,1853
PORT PHILIP,DUTCH,BATAVIA,1853
SOERABAIJA,DUTCH,NIEUWEDIEP,1854
UNKNOWN,DUTCH,PARAMARIBO,1826
CURACAO,DUTCH,RIO DE JANEIRO,1827
RIO DE JANEIRO,DUTCH,RIO DE LA PLATA,1827
RIO DE JANEIRO,DUTCH,VLISSINGEN,1827
NEDERLAND,DUTCH,BATAVIA,1842
BATAVIA,DUTCH,NIEUWEDIEP,1842
NIEUWEDIEP,DUTCH,BATAVIA,1845
BATAVIA,DUTCH,NIEUWEDIEP,1845
