EH;112;Red Point;-9;114;;;;
EI;113;Bali;-9;115;;;;
EJ;114;Bandidan, Penida, between Bali & Lombok;-9;116;;;;
EK;115;Taffell Hoek;-9;117;;;;
EL;116;Augustine;-8;-35;;;;
EM;117;Ascension;-8;-14;;;;
EN;118;Tjilatjap;-8;109;;;;
EO;119;Pasgeroeang;-8;113;;;;
EP;120;Banjoewangie;-8;114;;;;
EQ;121;Cabo Branco;-7;-35;;;;
ER;122;Diego Garcia;-7;72;;;;
ES;123;2e hoek van Java;-7;105;;;;
ET;124;Clapper Eiland;-7;106;;;;
EU;125;Cherebon Flagstaff;-7;109;;;;
EV;126;Bocht van Samarang;-7;110;;;;
EW;127;Hoek van Lassan;-7;111;;;;
EX;128;Grise;-7;112;;;;
EY;129;Fort Orange te Soerabaya;-7;113;;;;
EZ;130;Poeloe Babij;-6;-106;;;;
FA;131;Lobass isl, Peru (Lobos de Tierra);-6;-81;;;;
FB;132;Island of Engano;-6;102;;;;
FC;133;Klijn Fortuijn;-6;104;;;;
FD;134;Cracatoa;-6;105;;;;
FE;135;3e hoek van Java;-6;106;;;;
FF;136;Batavia;-6;107;;;;
FG;137;Bocht van Indermaijo, noord-java;-6;108;;;;
FH;138;Tacobashes;-6;124;;;;
FI;139;Lucipara;-6;128;;;;
FJ;140;Paita;-5;-81;;;;
FK;141;Cape Roque;-5;-36;;;;
FL;142;River Grand Sister;-5;-8;;;;
FM;143;Cabenda Bay, E Africa;-5;39;;;;
FN;144;Mahe Road;-5;56;;;;
FO;145;Engano;-5;102;;;;
FP;146;Macasser;-5;119;;;;
FQ;147;Camboyna;-5;122;;;;
FR;148;Boeton;-5;123;;;;
FS;149;Banda;-5;130;;;;
FT;150;Ferdinando;-4;-32;;;;
FU;151;Booby Island;-4;56;;;;
FV;152;Mettreciff (Mega Island) (Pulan);-4;101;;;;
FW;153;Bencolen (Bengkulu), Sumatra;-4;102;;;;
FX;154;River Banjor;-4;114;;;;
FY;155;Borneo;-4;115;;;;
FZ;156;Wawany;-4;123;;;;
GA;157;Amboina;-4;128;;;;
GB;158;Fort Duurstede, Saparoea;-4;129;;;;
GC;159;Maranon;-3;-44;;;;
GD;160;St Matthews island;-3;2;;;;
