Departure,Nationality,Destination,Year
Rochefort,French,Louisbourg,1751
Rochefort,French,Quebec,1752
Québec,French,Isle D'aix,1753
Rochefort,French,Québec,1753
Québec,French,Rochefort,1752
Québec,French,Isle D'aix,1753
Le Habre,French,Brest-Martinique-Guadeloupe-Brest,1768
Le Habre,French,Brest-Martinique-Guadeloupe-Brest,1768
Le Habre,French,Brest-Martinique-Guadeloupe-Brest,1768
Le Habre,French,Brest-Martinique-Guadeloupe-Brest,1768
Le Habre,French,Brest-Martinique-Guadeloupe-Brest,1768
Le Habre,French,Brest-Martinique-Guadeloupe-Brest,1768
Le Habre,French,Brest-Martinique-Guadeloupe-Brest,1768
Le Habre,French,Brest-Martinique-Guadeloupe-Brest,1768
Le Habre,French,Brest-Martinique-Guadeloupe-Brest,1769
Le Habre,French,Brest-Martinique-Guadeloupe-Brest,1769
Le Habre,French,Brest-Martinique-Guadeloupe-Brest,1769
Le Habre,French,Brest-Martinique-Guadeloupe-Brest,1769
Brest,French,Martinique-Guadeloupe-Dominique-Sainte Lucie et re,1769
Brest,French,Martinique-Guadeloupe-Dominique-Sainte Lucie et re,1770
Isle d'Aix,French,Fort Royal,1773
Fort Royal,French,Isle d'Aix,1773
Brest,French,Martinique,1775
Brest,French,Martinique,1775
Martinique,French,Brest,1776
Martinique,French,Brest,1776
Spithead,British,Table Bay,1799
Simons Bay ,British,Mauritius,1800
St Marys Madagascar,British,Table Bay,1800
Table Bay ,British,River Plate,1801
River Plate,British,Simons Bay,1801
Bombay,British,St Helena,1805
St Helena,British,Montevideo,1806
Montevideo,British,Spithead,1807
Texel,Dutch,Batavia,1765
Spithead,British,Trindada,1793
Nederland,Dutch,Batavia,1851
Fort St David,British,UK,1751
Spithead,British,Carlise Bay,1795
Jamaica,British,Spithead,1750
Antigua,British,Spithead,1769
Whampoa,British,St Helena,1785
Gravesend,British,Madras,1787
Prince of Wales Island (Penang),British,Gravesend,1788
Cork,British,Barbados,1796
Plymouth,British,St Jago,1807
St Jago,British,Funchal,1807
Funchal,British,Falmouth,1807
L'isle D'aix,French,Louisbourg et retour a l'isle D'aix,1754
L'isle D'aix,French,Louisbourg et retour a l'isle D'aix,1754
Brest,French,St Domingue,1774
St Domingue,French,Brest,1774
Brest,French,Martinique,1788
Martinique,French,Brest,1788
Brest,French,Louisbourg,1753
Brest,French,Louisbourg,1753
Louisbourg,French,Brest,1753
Rochefort,French,Québec,1751
Québec,French,Rochefort,1751
Rochefort,French,Iles St. Pierre, Terre Neuve, Ile Royale et retour,1752
Rochefort,French,Iles St. Pierre, Terre Neuve, Ile Royale et retour,1752
Rochefort,French,Martinique,1766
Guadeloupe,French,Rochefort,1766
Havre,French,Guadeloupe,1777
Brest,French,Martinique,1786
Saint Pierre,French,Brest,1786
Brest,French,Saint Pierre-Terre Neuve,1787
Saint Pierre-Terre Neuve,French,Brest,1787
Brest,French,La Martinique,1751
Martinique,French,Brest,1752
Port Louis,French,Martinique,1775
Guadeloupe,French,Brest,1776
Le Havre,French,New York,1787
New York,French,Cherbourg,1787
Ile d'Aix,French,Louisbourg et rtour a Rochefort,1753
Ile d'Aix,French,Louisbourg et rtour a Rochefort,1753
Rochefort,French,Louisbourg et retour a Rochefort,1754
Rochefort,French,Louisbourg et retour a Rochefort,1754
Brest,French,Louisbourg,1750
Louisbourg,French,Cadix,1750
Cadix,French,Brest,1750
Rochefort,French,Louisbourg,1753
Louisbourg,French,Rochefort,1753
Rochefort,French,Louisbourg,1755
Louisbourg,French,Rochefort,1755
Rochefort,French,Louisbourg,1756
Louisbourg,French,Rochefort,1756
Rochefort,French,Martinique,1786
Fort Royal,French,Rochefort,1786
Brest,French,Martinique,1774
Martinique,French,Rochefort,1775
Rochefort,French,Ile Miquelon et retour a Rochefort,1766
Rochefort,French,Ile Miquelon et retour a Rochefort,1766
Brest,French,Martinique,1786
Guadeloupe,French,Brest,1786
Brest,French,St Domingue,1773
St Domingue,French,Brest,1774
Toulon,French,La Carboniere,1751
La Carboniere,French,Malaga,1751
Malaga,French,Louisbourg,1751
Louisbourg,French,Louisbourg,1751
Louisbourg,French,Toulon,1751
Brest,French,St Domingue,1772
St Domingue,French,Brest,1773
L'Ile d'Aix,French,Louisbourg et retour a Rochefort,1755
L'Ile d'Aix,French,Louisbourg et retour a Rochefort,1756
Isle de Rhé,French,Isles Michelon et retour a la Rochelle,1771
Isle de Rhé,French,Isles Michelon et retour a la Rochelle,1771
Isle d´Aix,French,Martinique,1754
Guadeloupe,French,L'isle Dieu,1755
Lisbon,British,Newfoundland,1782
Spithead,British,Antigua,1759
Gibraltar,British,UK,1775
Portsmouth,British,Cape Nicholas, San Domingo,1795
Cape Nicholas,British,Spithead,1797
Gibraltar,British,Martinique,1800
Halifax,British,St Georges Bermuda,1799
Bermuda,British,Halifax,1800
Halifax,British,Bermuda,1800
Virginia,British,New Providence,1801
New Providence,British,Hampton Road,1801
Hampton Road,British,Halifax,1801
Halifax,British,Bermuda,1802
Halifax,British,Antigua,1802
Antigua,British,Bermuda,1803
Bermuda,British,Hampton Road,1803
Hampton Road,British,Halifax,1803
Halifax,British,Bermuda,1803
Halifax,British,Murray's Anchorage, Bermuda,1804
Murray's Anchorage, Bermuda,British,Egg Island,1804
Egg Island,British,Murray's Anchorage, Bermuda,1804
Cork,British,Barbados,1757
Madeira,British,Boston,1771
Boston,British,UK,1772
Pondicherry,British,Table Bay,1761
Table Bay,British,Portsmouth,1761
Portsmouth,British,Maderia,1763
Madeira,British,St Jago,1763
St Jago,British,Madagascar,1763
Madagascar,British,Madras,1763
Calcutta,British,Madras,1764
Madras,British,Simons Bay,1764
Madras,British,Simons Bay,1764
Madras,British,Simons Bay,1764
Simons Bay,British,St Helena,1764
St Helena,British,Plymouth,1764
Cadiz,British,UK,1768
St Johns,British,Cadiz,1768
Spithead,British,Norfolk, Virginia,1775
New York,British,Halifax,1776
Spithead,British,Nantucket,1771
Hellevoetsluis,Dutch,Batavia,1845
Batavia,Dutch,Hellevoetsluis,1846
Rotterdam,Dutch,Rio de Janeiro,1849
Rio de Janeiro,Dutch,Batavia,1849
Batavia,Dutch,Holland,1850
Java Head,British,St Helena,1752
St Helena,British,Plymouth,1752
Downs,British,Java,1787
Java Head,British,London,1788
UK,British,Java (xmas Island),1793
Java Head,British,St Helena,1794
Plymouth,British,Hampton Road Virginia,1759
Nieuwe Diep,Dutch,Batavia,1845
Banjoewangie,Dutch,Nieuwediep,1845
Nieuwediep,Dutch,Batavia,1846
Batavia,Dutch,Nieuwediep,1846
Nieuwediep,Dutch,New York,1847
New York,Dutch,Antwerpen,1847
Antwerpen,Dutch,Batavia,1847
Banjoewangi,Dutch,Nieuwediep,1848
Nieuwediep,Dutch,Batavia,1848
Batavia,Dutch,Nieuwediep,1848
Nieuwediep,Dutch,Batavia,1849
Batavia,Dutch,Nieuwediep,1850
Cardiff,Dutch,New York,1850
New York,Dutch,Buenos Aires,1850
Buenos Aires,Dutch,New York,1851
New York,Dutch,Batavia,1851
Banjoewangie,Dutch,Nieuwediep,1851
Antigua,British,Spithead,1764
Spithead,British,Antigua,1772
Basse Terre,British,Spithead,1774
Yarmouth,British,Madeira,1774
Madeira,British,Antigua,1774
Antigua,British,Falmouth,1776
Hellevoetsluis,Dutch,Buenos Aires,1823
Buenos Aires,Dutch,Valparaiso,1823
Valparaiso,Dutch,Callao,1824
Callao,Dutch,Davilican baai,1824
Davilican baai,Dutch,Pollilo,1824
Pollilo,Dutch,Sursogon,1824
Sursogon,Dutch,Cavite,1824
Manilla,Dutch,Batavia,1824
ESTRECHO DE SAN BERNARDINO,Spanish,ACAPULCO,1797
CÁDIZ,Spanish,CÁDIZ,1779
LA HABANA,Spanish,CÁDIZ,1794
LA HABANA.,Spanish,CÁDIZ,1794
CÁDIZ,Spanish,SANTA CATHALINA,1776
SANTA CATHALINA,Spanish,MONTEVIDEO,1777
SANTA CATHALINA,Spanish,MONTEVIDEO,1777
MONTEVIDEO,Spanish,SACRAMENTO,1777
CÁDIZ,Spanish,RÍO DE JANEIRO (BRASIL),1809
RÍO DE JANEIRO,Spanish,CÁDIZ,1809
CÁDIZ,Spanish,PUERTO RICO,1793
CÁDIZ,Spanish,PUERTO RICO,1793
PUERTO RICO,Spanish,VERACRUZ,1794
VERACRUZ,Spanish,LA HABANA,1794
LA HABANA,Spanish,CÁDIZ,1794
CÁDIZ,Spanish,INGLATERRA,1790
Texel,Dutch,St. Eustatius,1760
St. Eustatius,Dutch,Nieuwediep,1761
Nieuwediep,Dutch,Lissabon,1761
Lissabon,Dutch,Nieuwediep,1761
Rotterdam,Dutch,Batavia,1662
Rotterdam,Dutch,Batavia,1663
Nederland,Dutch,Suriname,1835
Suriname,Dutch,St Maarten,1835
Curaçao,Dutch,New York,1835
New York,Dutch,Texel,1835
Texel,Dutch,Rio de Janeiro,1838
Texel,Dutch,Rio de Janeiro,1838
Rio de Janeiro,Dutch,Batavia,1838
Batavia,Dutch,Texel,1841
Hellevoetsluis,Dutch,Batavia,1841
Batavia,Dutch,Rotterdam,1842
Hellevoetsluis,Dutch,St Vincent,1786
St Vincent,Dutch,Rio Demerary,1787
Rio Demerary,Dutch,Hellevoetsluis,1787
Downs UK,British,Bengal,1826
Bengal,British,Downs UK,1826
Nieuwediep,Dutch,Calcutta,1850
Nieuwediep,Dutch,Calcutta,1851
Nieuwediep,Dutch,Calcutta,1851
Calcutta,Dutch,Java,1851
Calcutta,Dutch,Batavia,1851
Batavia,Dutch,Kaap de Goede Hoop,1851
Batavia,Dutch,Nederland,1851
Westereilanden,Dutch,Nederland,1851
Nederland,Dutch,Batavia,1851
Batavia,Dutch,London,1852
Batavia,Dutch,Nederland,1852
Londen,Dutch,Calcutta,1853
London,Dutch,Calcutta,1853
Calcutta,Dutch,Batavia,1853
Batavia,Dutch,Nederland,1853
Batavia,Dutch,Nederland,1853
Charlestown,British,Barbados,1782
Antigua,British,New York,1782
Plymouth,British,Annabona,1781
Annabona,British,St Helena,1781
St Helena,British,Madras,1781
Plymouth,British,Barbados,1794
Spithead,British,Carlise Bay Barbados,1802
Jamaica,British,Spithead,1802
Spithead,British,Halifax,1813
Spithead,British,Barbados,1805
Port Royal, Jamaica,British,The Nore,1806
Table Bay,British,Spithead,1808
Malacca,British,Madras,1763
Manilla,British,Penang,1763
Nieuwediep,Dutch,Batavia,1847
Banjoewangie,Dutch,Nieuwediep,1848
Nieuwediep,Dutch,Batavia,1848
Bangoewangie,Dutch,Nieuwediep,1849
Nieuwediep,Dutch,Batavia,1849
Batavia,Dutch,Nieuwediep,1850
Bremen,Dutch,New York,1852
New York,Dutch,Nederland,1852
Hellevoetsluis,Dutch,St George d'Elmina,1836
St George d'Elmina,Dutch,Batavia,1836
St George d'Elmina,Dutch,Batavia,1836
Batavia,Dutch,Hellevoetsluis,1836
Rotterdam,Dutch,Golf van Guinee,1838
Golf van Guinee,Dutch,Batavia,1838
Batavia,Dutch,Rotterdam,1838
Rotterdam,Dutch,Batavia,1847
Padang,Dutch,Nederland,1848
Rotterdam,Dutch,Batavia,1849
Batavia,Dutch,Brouwershaven,1850
CÁDIZ,Spanish,CÁDIZ,1779
La Coruña,Spanish,Montevideo,1785
Montevideo,Spanish,La Coruña,1785
La Coruña,Spanish,Montevideo,1787
Montevideo,Spanish,La Coruña,1787
Portsmouth,Dutch,Simonsbaai,1816
Simonsbaai,Dutch,Batavia,1816
Batavia,Dutch,Texel,1819
Texel,Dutch,St George d'Elmina,1824
St George d'Elmina,Dutch,Montevideo,1824
Montevideo,Dutch,Valparaiso,1825
Valparaiso,Dutch,Cherillos,1825
Cherillos,Dutch,Noahiwa,1825
Noahiwa,Dutch,Ambon,1825
Ambon,Dutch,Ambon,1825
Ambon,Dutch,Sourabaija,1825
Sourabaija,Dutch,Batavia,1826
Batavia,Dutch,Texel,1826
Rotterdam,Dutch,Batavia,1850
Batavia,Dutch,Rotterdam,1851
Batavia,British,Cape of Good Hope,1750
Cape of Good Hope,British,UK,1750
Downs,British,St Helena,1790
St Helena,British,Java,1790
Rotterdam,Dutch,St Eustacius,1780
Anguilla,British,Kinsale,1767
Halifax,British,Fort Johnson,1768
Halifax,British,Charleston,1770
Charleston,British,Plymouth,1771
Portsmouth,British,Carlisle Bay Barbados,1782
Florida,British,Nova Scotia,1783
Spithead ,British,Rio de Janeiro,1782
Rio de Janeiro,British,Madagascar,1782
Madagascar,British,Johanna,1782
Johanna,British,Madras,1782
Madras,British,Kedgeree,1782
Madras,British,Table Bay,1783
Table Bay,British,Portsmouth,1783
Spithead,British,Antigua,1783
Plymouth,British,Dixcove,1791
St Thomas,British,Barbados,1792
Jamaica,British,Weymouth,1792
Spithead,British,Cruise to Finisterre,1755
Spithead,British,Cruise to Finisterre,1756
Spithead,British,Cruise to Azores,1756
Spithead,British,Halifax,1759
Spithead,British,St. Augustine, Madagascar,1760
St. Augustine Madagascar,British,Cuddalore,1760
Madras,British,Cape of Good Hope,1765
Cape of Good Hope,British,St Helena,1765
St Helena,British,Plymouth,1765
Nederland,Dutch,Kaap de Goede Hoop,1832
Kaap de Goede Hoop,Dutch,Batavia,1832
Batavia,Dutch,St. Helena,1836
St Helena,Dutch,Hellevoetsluis,1836
Hellevoetsluis,Dutch,Falmouth,1839
Falmouth,Dutch,Tenerife,1839
Tenerife,Dutch,Rio de Janeiro,1839
Rio de Janeiro,Dutch,Batavia,1839
Batavia,Dutch,Texel,1842
Nederland,Dutch,Suriname,1845
Suriname,Dutch,Curacao,1845
Curacao,Dutch,St Eustacius,1846
St Eustacius,Dutch,Curacao,1846
Curacao,Dutch,Suriname,1846
Suriname,Dutch,St Maarten,1847
St Maarten,Dutch,Curaçao,1847
Curaçao,Dutch,Porto Cabello,1847
Porto Cabello,Dutch,St Eustacius,1847
St Eustacius,Dutch,Curaçao,1847
Curaçao,Dutch,La Guaijra,1847
Curaçao,Dutch,St Eustacius,1847
St Eustacius,Dutch,La Guaijra,1847
Curaçao,Dutch,St. Maarten,1848
St. Maarten,Dutch,Suriname,1848
Suriname,Dutch,St Maarten,1848
St Maarten,Dutch,Curaçao,1848
Curaçao,Dutch,Suriname,1848
Suriname,Dutch,St Eustacius,1848
St Eustacius,Dutch,Curaçao,1848
Curaçao,Dutch,La Guaijra,1849
La Guaijra,Dutch,Curaçao,1849
Curaçao,Dutch,Puerto Cabello,1849
Puerto Cabello,Dutch,La Guaijra,1849
Curaçao,Dutch,Vlissingen,1849
Texel,Dutch,Rio de Janeiro,1821
Rio de Janeiro,Dutch,Batavia,1821
Downs,British,Bombay,1787
Java Head,British,Downs,1788
Nederland,Dutch,Elmina,1840
Elmina,Dutch,Batavia,1840
Rammekens,Dutch,Simonsbaai,1793
Nieuwediep,Dutch,Batavia,1853
Soerabaija,Dutch,Nieuwediep,1854
Batavia ,Dutch,Tafelbaai,1848
Tafelbaai ,Dutch,Falmouth,1848
Tafelbaai,Dutch,Falmouth,1849
Tafelbaai ,Dutch,Falmouth,1848
Hellevoetsluis,Dutch,Batavia,1848
Batavia,Dutch,Rotterdam,1849
Nederland,Dutch,Kaap de Goede Hoop,1851
Kaap de Goede Hoop,Dutch,Batavia,1851
Batavia,Dutch,Nederland,1852
Middelburg,Dutch,Kaap Mazurado,1752
Popo,Dutch,Camarones,1752
San Thomé,Dutch,Vlissingen,1753
Middelburg,Dutch,Kaap Monte,1753
St George d'Elmina,Dutch,Suriname,1754
Suriname,Dutch,Vlissingen,1754
Rammekens,Dutch,West Afrika,1755
West Afrika,Dutch,Rammekens,1755
Rammekens,Dutch,Guinea,1756
San Thomé,Dutch,Rammekens,1756
Middelburg,Dutch,Afrika,1758
Afrika,Dutch,Middelburg,1759
Dublin Bay,British,Maderia,1750
Madeira,British,Spithead,1750
Plymouth,British,Newfoundland,1750
Newfoundland,British,Lisbon,1750
Lisbon,British,Lizard,1750
Spithead,British,St Johns (NF),1780
St Johns (NF),British,cruising off NF,1780
St Johns (NF),British,cruising off Grand Banks,1780
St Johns (NF),British,Spithead,1780
Spithead,British,New York,1783
Texel,Dutch,Paramaribo,1819
Paramaribo,Dutch,Curacao,1819
Curacao,Dutch,Hellevoetsluis,1822
Spithead,British,Newfoundland,1767
Spithead,British,Newfoundland,1768
Spithead,British,Madeira,1769
Anna de Chaces,British,Spithead,1769
Jamaica,British,Spithead,1772
Spithead,British,St Johns,1783
St Johns,British,Spithead,1783
Spithead,British,New York,1754
New York,British,Charlestown,1754
Spithead,British,Lisbon,1757
Spithead,British,CharlesTown N.Carolina,1759
Falmouth,British,Halifax,1767
Boston,British,Halifax,1770
Hellevoetsluis,Dutch,Rio de Janeiro,1852
Rio de Janeiro,Dutch,Batavia,1852
Batavia,Dutch,Paramaribo,1853
Paramaribo,Dutch,Curacao,1853
Curacao,Dutch,Nieuwediep,1853
Texel,Dutch,Curaçao,1751
Curaçao,Dutch,Middelburg,1751
Middelburg,Dutch,Afrika,1752
Afrika,Dutch,Suriname,1753
Suriname,Dutch,Middelburg,1754
Rotterdam,Dutch,Guinea,1754
Guinea,Dutch,Suriname,1755
Suriname,Dutch,Middelburg,1756
Middelburg,Dutch,West Afrika,1756
West Afrika,Dutch,Suriname,1757
Suriname,Dutch,Middelburg,1758
Tagus,British,Spithead,1782
Spithead,British,Gibraltar,1782
Gibraltar,British,Spithead,1782
Spithead,British,Madras,1791
Tagus,British,cruising off Tagus,1782
Tagus,British,cruising off Tagus,1782
Tagus,British,cruising off Tagus,1782
Tagus,British,cruising off Tagus,1782
Tagus,British,cruising off Tagus,1782
Tagus,British,cruising off Tagus,1782
Tagus,British,cruising off Tagus,1782
Tagus,British,cruising off Tagus,1782
Tagus,British,cruising off Tagus,1782
Tagus,British,cruising off Tagus,1782
Falmouth,British,St Augustines,1781
St Augustines,British,Johanna,1781
Johanna,British,Nagapatam,1781
Spithead,British,St Jago,1781
St Jago,British,Saldanha,1781
Saldanha,British,Johanna,1781
Johanna,British,Moubat,1781
Moubat,British,Bombay,1781
Bombay,British,Table Bay,1784
Table Bay,British,St Helena,1784
St Helena,British,Ascension,1784
Ascension,British,Spithead,1784
Antigua,British,New York,1781
New York,British,Barbados,1781
Gibraltar,British,Spithead,1772
St Johns Newfoundland,British,Spithead,1781
SAN BLAS,Spanish,AMÉRICA SEPTENTRIONAL(NOKA),1792
SAN BLAS,Spanish,AMÉRICA SEPTENTRIONAL(NOKA),1792
NOKA,Spanish,BUCARELY,1792
BUCARELY,Spanish,NOKA,1792
BUCARELY,Spanish,FLORIDA BLANCA,1792
FLORIDA BLANCA,Spanish,SURGRO. DE SAN ROQUE,1792
SURGIDERO DE SAN ROQUE,Spanish,NOKA,1792
NOKA,Spanish,MONTERREY,1792
MONTERREY,Spanish,SAN BLAS,1793
RIO DE JANEIRO,Spanish,RIO DE LA PLATA,1782
CADIZ,Spanish,PUERTO RICO,1793
CÁDIZ,Spanish,PUERTO RICO,1793
CÁDIZ,Spanish,VERACRUZ,1793
VERACRUZ,Spanish,CÁDIZ,1794
VERACRUZ.,Spanish,CÁDIZ,1794
VERACRUZ,Spanish,LA HABANA,1794
LA HABANA,Spanish,CÁDIZ,1794
LA HABANA,Spanish,CÁDIZ,1794
MÁLAGA,Spanish,ISLAS DE BARLOVENTO,1792
CÁDIZ,Spanish,PACÍFICO,1827
SISIRÁN,Spanish,SAN BLAS (NUEVA ESPAÑA),1781
SISIRÁN,Spanish,SAN BLAS (NUEVA ESPAÑA),1780
CÁDIZ,Spanish,VERACRUZ (MÉXICO),1794
CÁDIZ,Spanish,LA HABANA,1793
CÁDIZ,Spanish,VERACRUZ,1793
LA HABANA,Spanish,CÁDIZ,1794
VERACRUZ,Spanish,LA HABANA,1794
EL CALLAO,Spanish,EL CALLAO,1676
Madras,British,Table Bay,1783
Table Bay,British,Spithead,1784
Portsmouth,British,Portsmouth (after cruising towards Finisterre),1757
Spithead,British,Halifax,1758
New York,British,CharlesTown,1782
CharlesTown,British,St Lucia,1782
St Lucia,British,New York,1783
Nova Scotia,British,Spithead,1784
Batavia,Dutch,Amsterdam,1845
Amsterdam,Dutch,Batavia,1845
Amsterdam,Dutch,Batavia,1846
Batavia,Dutch,Amsterdam,1847
Het Nieuwe Diep,Dutch,Batavia,1847
Batavia,Dutch,Amsterdam,1848
Amsterdam,Dutch,Batavia,1849
Bangoewangie,Dutch,Amsterdam,1849
Texel,Dutch,Fonciaal,1780
Fonciaal,Dutch,Curacao,1781
Curacao,Dutch,Tiburon baai,1781
Tiburon baai,Dutch,Texel,1781
Plymouth ,British,Fayal Road Azores,1772
Fayal, Azores,British,St Johns Newfoundland,1772
St Johns Newfoundland (cruise of Grand Banks),British,St Johns Newfoundland,1772
St Johns Newfoundland,British,Lisbon,1772
Lisbon,British,Plymouth,1772
Prince Ruperts Bay Dominica,British,Rhode Island,1794
St Kitts,British,Milford Haven,1795
Texel,Dutch,Batavia,1788
Liverpool,Dutch,Melbourne,1853
Melbourne,Dutch,Batavia,1853
Nieuwediep,Dutch,Batavia,1847
Batavia,Dutch,Soerabaya,1847
Soerabaya,Dutch,Pangool,1847
Soerabaya,Dutch,Nieuwediep,1848
Rotterdam,Dutch,Batavia,1832
Batavia,Dutch,Kaapstad,1833
Kaapstad,Dutch,Rotterdam,1833
Rotterdam,Dutch,Batavia,1836
Batavia,Dutch,Rotterdam,1836
Rotterdam,Dutch,Batavia,1845
Batavia,Dutch,Hellevoetsluis,1845
Hellevoetsluis,Dutch,Kaap de Goede Hoop,1838
Kaap de Goede Hoop,Dutch,Batavia,1838
Hellevoetsluis,Dutch,Kaap de Goede Hoop,1839
Kaap de Goede Hoop,Dutch,Batavia,1839
Batavia,Dutch,Hellevoetsluis,1841
Batavia,Dutch,Hellevoetsluis,1841
Holland,Dutch,Rio de Janeiro,1846
Rio de Janeiro,Dutch,Batavia,1846
Torbay UK,British,Basse Terre,1808
Basse Terre,British,Plymouth,1808
Plymouth,British,Barbados,1808
Jamaica Port Royal,British,Spithead,1802
Falmouth,British,Maldonado, River Plate,1806
Falmouth,British,Maldonado, River Plate ,1806
St Helens Road UK,British,Spithead,1756
The Ramhead,British,Spithead,1756
Spithead,British,Hamoze UK,1756
Madeira,British,St Augustine Bay,1757
Madeira,British,St Augustine Bay,1757
St Augustin Bay,British,Bombay Harbour,1757
St Augustine Bay,British,Bombay Harbour,1757
Saderass,British,Collemoye,1758
Halifax,British,Bermuda,1820
Bermuda,British,Halifax,1820
Halifax,British,Quebec,1820
Halifax,British,Bermuda,1820
Bermuda,British,Halifax,1821
Halifax,British,Bermuda,1821
Halifax,British,Spithead,1821
Nederland,Dutch,Batavia,1845
Batavia,Dutch,Nederland,1845
London,Dutch,Batavia,1848
Batavia,Dutch,Nederland,1848
Nederland,Dutch,Batavia,1849
Batavia,Dutch,Nederland,1849
Nederland,Dutch,Java,1850
Banjoewangie,Dutch,Brouwershaven,1850
Brouwershaven,Dutch,Batavia,1852
Batavia,Dutch,Brouwershaven,1853
Middelburg,Dutch,West Afrika,1767
Middelburg,Dutch,West Afrika,1767
West Afrika,Dutch,Suriname,1767
Suriname,Dutch,Middelburg,1768
Middelburg,Dutch,West Afrika,1768
West Afrika,Dutch,Suriname,1769
Suriname,Dutch,Middelburg,1769
Middelburg,Dutch,West Afrika,1770
West Afrika,Dutch,Suriname,1771
Suriname,Dutch,Middelburg,1771
Middelburg,Dutch,Kaap Masurado,1779
Elmina,Dutch,Braamspunt,1779
Braamspunt,Dutch,St Eustatius,1780
St Eustatius,Dutch,Middelburg,1780
St John's Newfoundland,British,Cadiz,1768
Cadiz,British,Spithead,1769
Spithead,British,St John's Newfoundland,1769
Spithead,British,Gibraltar,1770
Lisbon,British,Spithead,1772
Plymouth,British,Mauritius,1810
Port Louis, Mauritius,British,Madras ,1811
Madras,British,Port Louis, Mauritius,1811
Port Louis,British,Batavia,1811
Batavia,British,Port Louis,1811
Port Louis,British,Table Bay,1812
Simons Bay,British,Quiloa, East Africa,1812
Quiloa East Africa,British,Table Bay,1812
Table Bay,British,St Helena,1812
St Helena,British,Table Bay,1813
Bayonne,French,Bordeaux,1787
Martinique,French,Cap Francois,1787
Bordeaux,French,Martinique,1787
Cap Francois,French,Bordeaux,1788
Pal,French,Richard,1788
Richard,French,Guadeloupe,1788
Guadeloupe,French,Cap Francis,1788
Cap Francis,French,Bordeaux,1788
Le Havre,French,New York,1788
New York,French,Brest,1788
Bordeaux,French,St Domingue,1787
St Domingue,French,Bordeaux,1788
Middelburg,Dutch,Batavia,1758
Batavia,Dutch,Rammekens,1759
Rammekens,Dutch,Batavia,1761
Gravesend,British,St Helena,1767
St Helena,British,Canton,1767
Canton,British,St Helena,1768
Gravesend,British,Bombay,1770
Bombay,British,Canton,1771
Canton ,British,Table Bay,1772
Table Bay,British,Spithead,1772
Dungeness,British,Bombay,1774
Bombay,British,Bengal,1774
Calcutta,British,Table Bay,1775
Table Bay,British,Lisbon,1776
Lisbon,British,Spithead,1776
Simons Bay,British,Downs UK via St Helena,1807
Yarmouth,British,New York,1760
Yarmouth,British,New York,1760
Cork,British,New York,1765
Cape Verde (Dakar),British,Simons Bay,1779
Table Bay,British,Madras,1779
Frankrijk,French,Nederlands Indië,1811
Rotterdam,Dutch,Batavia,1851
Batavia,Dutch,Shanghai,1851
Shanghai,Dutch,Batavia,1851
Batavia,Dutch,Rotterdam,1852
Rotterdam,Dutch,Batavia,1852
Schiedam,Dutch,Spitsbergen,1791
Spitsbergen,Dutch,Schiedam,1791
Schiedam,Dutch,Spitsbergen,1792
Spitsbergen,Dutch,Schiedam,1792
Schiedam,Dutch,Spitsbergen,1793
Spitsbergen,Dutch,Schiedam,1793
Schiedam,Dutch,Spitsbergen,1794
Spitsbergen,Dutch,Schiedam,1794
Amsterdam,Dutch,Batavia,1853
Batavia,Dutch,Amsterdam,1853
Hellevoetsluis,Dutch,Guiana,1759
Suriname,Dutch,Hellevoetsluis,1759
Hellevoetsluis,Dutch,Brest,1787
Brest,Dutch,False Baay,1787
False Baay,Dutch,Batavia,1787
Placentia Road,British,Lisbon,1754
Lisbon,British,Plymouth,1754
Hammoze,British,Hammoze (cruising),1755
St Johns, Newfoundland,British,Halifax,1755
Halifax,British,Froward Point (England),1755
Rammekens,Dutch,Ceylon,1773
Hellevoetsluis,Dutch,Batavia,1848
Bangowangie,Dutch,Brouwershaven,1849
MONTEVIDEO,Spanish,SANTA CATALINA Y DE ALLÍ A ESPAÑA,1778
CÁDIZ,Spanish,AMÉRICA MERIDIONAL,1776
CADIZ,Spanish,ISLA SANTA CATALINA (BRASIL),1776
CÁDIZ,Spanish,ISLA SANTA CATALINA (BRASIL),1777
CÁDIZ,Spanish,SANTA CATALINA (BRASIL),1776
CÁDIZ,Spanish,ISLA SANTA CATALINA,1776
CÁDIZ,Spanish,DOMINIOS DE AMÉRICA,1776
SANTA CATALINA,Spanish,MONTEVIDEO,1777
LA CORUÑA,Spanish,LA HABANA,1765
LA HABANA,Spanish,LA CORUÑA,1765
LA CORUÑA,Spanish,LA HABANA,1766
LA HABANA,Spanish,LA CORUÑA,1766
LA CORUÑA,Spanish,LA HABANA,1766
LA HABANA,Spanish,LA CORUÑA,1766
Buenos Aires,Spanish,La Coruña,1767
LA CORUÑA,Spanish,LA HABANA,1768
LA HABANA,Spanish,LA CORUÑA,1768
LA HABANA,Spanish,LA CORUÑA,1769
La Coruña,Spanish,Montevideo,1769
Montevideo,Spanish,La Coruña,1770
La Coruña,Spanish,Montevideo,1770
Montevideo,Spanish,La Coruña,1771
La Coruña,Spanish,Montevideo,1771
Montevideo,Spanish,La Coruña,1772
La Coruña,Spanish,Montevideo,1772
La Coruña,Spanish,Montevideo,1777
Montevideo,Spanish,La Coruña,1773
LA CORUÑA,Spanish,LA HABANA,1773
