Departure,Nationality,Destination,Year
Rotterdam,Dutch,Batavia,1834
Batavia,Dutch,Rotterdam,1835
Rotterdam,Dutch,Batavia,1835
Batavia,Dutch,Helvoetsluis,1835
Rotterdam,Dutch,Batavia,1836
Batavia,Dutch,Helvoetsluis,1836
Rotterdam,Dutch,Batavia,1837
Batavia,Dutch,Rotterdam,1837
Rotterdam,Dutch,Batavia,1838
Batavia,Dutch,Rotterdam,1839
Rotterdam,Dutch,Batavia,1839
Batavia,Dutch,Rotterdam,1840
Nederland,Dutch,Batavia,1846
Texel,Dutch,Kaap de Goede Hoop via O. Indie,1802
Kaap de Goede Hoop via O. Indie,Dutch,Batavia,1803
Batavia,Dutch,Port Louis,1803
Port Louis,Dutch,Tafelbaai,1804
Tafelbaai,Dutch,Simonsbaai,1804
Plymouth,British,Madeira,1758
Madeira,British,Hampton Road Virginia,1758
Fort William,British,Halifax,1758
Halifax,British,Port Royal, Jamaica,1758
UK,British,Dominica,1763
UK,British,Halifax,1767
Halifax,British,Barbados,1768
Barbados,British,Halifax,1768
Halifax,British,Antigua,1771
Spithead,British,Carlisle Bay,1796
Tortola,British,Spithead,1798
Lagos Bay,British,Gibraltar via Antigua,1805
Plymouth,British,Barbados,1806
Spithead,British,Carlisle Bay Barbados,1807
Plymouth,British,Plymouth (cruising),1777
Plymouth,British,Madeira,1777
Porto Praya,British,Portsmouth,1777
Torbay,British,Plymouth (cruising western approaches),1778
Madeira,British,St Helena,1778
St Helena,British,Ascension,1778
Ascension,British,Plymouth,1778
Madras,British,Madagascar,1780
Hellevoetsluis,Dutch,Grand Canarien,1783
Grand Canarien,Dutch,Demerary,1784
Hellevoetsluis,Dutch,Grand Canarien,1784
Hellevoetsluis,Dutch,Baai Falso,1789
Baai Falso,Dutch,Batavia,1789
Batavia,Dutch,Tafelbaai,1792
Tafelbaai,Dutch,Hellevoetsluis,1792
London,British,Rio de Janeiro,1792
Rio de Janeiro,British,Port Jackson,1792
Port Jackson,British,Prince of Wales Island,1793
Lombock (nr Bali),British,St Helena,1794
Deptford,British,Madras,1795
Sajor Road,British,St Helena,1796
Texel,Dutch,Kaap de Goede Hoop,1796
Downs,British,Madras,1797
Timor,British,Downs,1798
Rotterdam,Dutch,Batavia,1825
Batavia,Dutch,Texel,1830
Nieuwediep,Dutch,Batavia,1839
Nieuwediep,Dutch,Batavia,1839
Nieuwediep,Dutch,Batavia,1839
Batavia,Dutch,Nieuwediep,1842
Batavia,Dutch,Nieuwediep,1842
Batavia,Dutch,Nieuwediep,1842
Java Head,British,Downs,1789
Waterford,British,Barbados,1796
Spithead,British,Barbados,1792
St Johns Antigua,British,Woodmans Bay Dominica,1793
St Christophers (Basse Terre),British,Carlise Bay Barbados,1793
Basse Terre,British,Halifax,1794
Halifax,British,Basse Terre,1794
St john's Antigua,British,Spithead,1795
Lizard,British,Madeira,1750
Madeira,British,Senegal,1750
Senegal,British,Lisbon,1750
Cadiz,British,Spithead,1751
Charleston,British,Plymouth,1758
Port Royal,British,Spithead,1792
Falmouth,British,Barbados,1793
Prince Ruperts Bay,British,Falmouth UK,1794
Yarmouth,British,Madeira,1766
Senegal,British,Lisbon,1766
Lisbon,British,Kinsale,1766
Spithead,British,Cadiz,1768
Lisbon,British,Kinsale,1768
Amsterdam,Dutch,Funchal,1771
Funchal,Dutch,Porto Praija,1771
Porto Praija,Dutch,Rio Sester,1771
Rio Sester,Dutch,St George d'Elmina,1771
St George d'Elminar,Dutch,Suriname,1771
West Indies,Dutch,Nederland,1772
Amsterdam,Dutch,Suriname,1772
Suriname,Dutch,Nieuwediep,1773
St Eustatius,British,Spithead,1787
Nederland,Dutch,Rio de Janeiro,1835
Rio de Janeiro,Dutch,Java,1835
Java,Dutch,Tafelbaai,1838
Tafelbaai,Dutch,Plymouth,1839
Plymouth,Dutch,Vlissingen,1839
Plymouth,Dutch,Rio de Janeiro,1840
Rio de Janeiro,Dutch,Batavia,1840
Batavia,Dutch,Vlissingen,1842
Nederland,Dutch,Rio de Janeiro,1844
Rio de Janeiro,Dutch,Java,1844
Batavia,Dutch,Riouw,1844
Riouw,Dutch,Padang,1844
Padang,Dutch,Batavia,1846
Banjoewangie,Dutch,Texel,1847
Banjoewangie,Dutch,Texel,1847
Nederland,Dutch,Rio de Janeiro,1848
Rio de Janeiro,Dutch,Batavia,1848
Vlissingen,Dutch,Columbo,1771
Rotterdam,Dutch,Colombo,1760
Colombo,Dutch,Batavia,1761
Spithead,British,cruising Bay Biscay,1762
Madeira,British,Hampton Road,1770
Hampton Road,British,Hailfax,1770
Kaap de Goede Hoop,Dutch,Nederland,1773
Martinique,British,Plymouth,1794
Texel,Dutch,Kaap de Goede Hoop,1796
Rotterdam,Dutch,Curaçao,1782
Java Head,British,Downs,1787
Spithead,British,All Saints Bay,1783
Downs,British,Madras,1802
Texel,Dutch,Kaap de Goede Hoop,1787
Falmouth,Dutch,Java,1844
Falmouth,Dutch,Java,1849
Batavia,Dutch,Nederland,1851
Cape Francois Harbour,British,Spithead,1792
Vlissingen,Dutch,Hampton,1802
Hampton,Dutch,Texel,1802
Portsmouth,British,Madras,1771
Madras,British,Tillicherry,1772
Madras,British,Spithead,1775
Rotterdam,Dutch,Batavia,1848
Batavia,Dutch,Rotterdam,1848
Nederland,Dutch,Java,1849
Java,Dutch,Nederland,1849
Batavia,Dutch,Singels,1850
Rotterdam,Dutch,Batavia,1850
Batavia,Dutch,Nederland,1850
Batavia,Dutch,Nederland,1851
Porto Praya,British,Spithead,1784
Princess Island (nr St Thomas),British,Barbados,1794
Plymouth,British,Gibraltar,1768
Gibraltar,British,Plymouth,1768
Table Bay,British,Madras,1779
Gravesend,British,Wampoe,1785
Wampoe,British,UK,1786
UK,British,Madras,1787
Madras,British,Downs,1788
Downs,British,Madras,1789
LA CORUÑA,Spanish,LA HABANA,1765
LA HABANA,Spanish,LA CORUÑA,1766
LA CORUÑA,Spanish,LA HABANA,1767
LA HABANA,Spanish,LA CORUÑA,1767
LA CORUÑA,Spanish,LA HABANA,1768
LA HABANA,Spanish,LA CORUÑA,1770
LA HABANA,Spanish,LA CORUÑA,1772
LA CORUÑA,Spanish,LA HABANA,1772
LA HABANA,Spanish,LA CORUÑA,1772
LA CORUÑA,Spanish,LA HABANA,1773
LA HABANA,Spanish,LA CORUÑA,1773
LA CORUÑA,Spanish,LA HABANA,1778
LA CORUÑA,Spanish,LA HABANA,1778
LA HABANA,Spanish,LA CORUÑA,1779
LA CORUÑA,Spanish,LA HABANA,1779
La Coruña,Spanish,Montevideo,1780
Montevideo,Spanish,La Coruña,1781
LA CORUÑA,Spanish,LA HABANA,1786
LA CORUÑA,Spanish,LA HABANA,1786
LA HABANA,Spanish,LA CORUÑA,1786
LA CORUÑA,Spanish,LA HABANA,1787
LA HABANA,Spanish,LA CORUÑA,1787
LA HABANA,Spanish,LA CORUÑA,1788
LA CORUÑA,Spanish,LA HABANA,1788
LA HABANA,Spanish,LA CORUÑA,1788
LA CORUÑA,Spanish,LA HABANA,1790
LA HABANA,Spanish,LA CORUÑA,1790
LA CORUÑA,Spanish,LA HABANA,1793
LA HABANA,Spanish,LA CORUÑA,1793
LA CORUÑA,Spanish,LA HABANA,1796
LA HABANA,Spanish,LA CORUÑA,1797
La Coruña,Spanish,Montevideo,1797
La Coruña,Spanish,Montevideo,1797
Montevideo,Spanish,La Coruña,1798
Montevideo,Spanish,La Coruña,1798
BARCELONA,Spanish,CARTAGENA,1847
BARCELONA,Spanish,CARTAGENA,1847
Port Louis,Dutch,Hellevoetsluis,1819
Portsmouth,British,Madras,1803
Sauger Roads ,British,Downs,1804
Spithead,British,Port Royal,1799
Spithead,British,Table Bay,1798
Table Bay,British,Nore,1800
Spithead,British,Barbados,1803
Spithead,British,Barbados,1801
Falmouth,British,Table Bay,1807
Table Bay,British,Lobos Island (River Plate),1807
River Plate,British,Table Bay,1807
Table Bay,British,Spithead,1807
Hellevoetsluis,Dutch,Batavia,1790
Cork,British,Trincomalee via Funchal,1803
Jamaica,British,Spithead,1773
Plymouth,British,Cape,1796
Mangalore,British,River Shannon,1799
Downs UK,British,Bengal,1820
Java Head,British,Downs via St Helena,1821
Plymouth,British,Bombay,1822
Sunda Strait,British,Downs,1823
Cowes Road,British,Bombay,1824
Java Head,British,Gravesend,1825
Hellevoetsluis,Dutch,Funchal,1768
Funchal,Dutch,Funchal,1769
Funchal,Dutch,Cadix,1769
Cadix,Dutch,Porto Praya,1769
Porto Praya,Dutch,Kaap Monte / Kaap Misurado,1769
Kaap Monte / Kaap Misurado,Dutch,Kaap La Hou,1769
St George d'Elmina,Dutch,Kaap Noord,1769
Kaap Noord,Dutch,Fort Amsterdam,1770
Fort Amsterdam,Dutch,St. Eustatius,1770
St. Eustatius,Dutch,Curacao,1770
Curacao,Dutch,Hellevoetsluis,1770
Hellevoetsluis,Dutch,Paramaribo,1779
Paramaribo,Dutch,Hellevoetsluis,1779
Hellevoetsluis,Dutch,Portugal,1780
Lisbon,Dutch,Algiers,1780
